tokens,embedding
affecting,"[-0.03258371 -0.0225721   0.02207284 ... -0.01319115 -0.0133948
 -0.03289904]"
africa,"[ 3.21086729e-03 -3.84781994e-02 -4.29298525e-05 ...  2.16178829e-03
 -2.35430966e-03 -2.13731523e-03]"
age,"[ 0.0059976  -0.01641588  0.00654435 ... -0.00893472 -0.00716778
 -0.00395061]"
aged,"[ 0.00225665 -0.02020837  0.00718402 ... -0.00359866 -0.01537912
 -0.00907315]"
agencies,"[-0.01736598 -0.00910688 -0.00850523 ... -0.00382188 -0.0277172
 -0.02490035]"
agency,"[-0.00942229 -0.03499517 -0.00912888 ... -0.00928225 -0.01429681
 -0.0241392 ]"
agenda,"[-0.00476965 -0.03028044  0.00677971 ... -0.0013602  -0.00996856
 -0.02965357]"
agent,"[-0.01599735 -0.02752525  0.00862549 ... -0.02385976 -0.0178369
 -0.00341851]"
ago,"[-0.00109194 -0.02088286  0.0116097  ... -0.00121474  0.00239463
 -0.01206108]"
agree,"[-0.00841435 -0.03289483  0.00427291 ... -0.02816176 -0.00863128
 -0.0170259 ]"
agreed,"[-0.02197593 -0.02109584 -0.00372395 ... -0.0262056  -0.01888905
 -0.01320789]"
agreements,"[-0.00397124 -0.02671558  0.01320793 ... -0.0278872   0.00202819
 -0.01937255]"
agrees,"[-0.01581592 -0.02912662  0.00878892 ... -0.03854184 -0.00602216
 -0.01086742]"
ai,"[-0.00803134 -0.03423923 -0.0018479  ... -0.0136637  -0.00708566
 -0.01997056]"
aid,"[-0.01054076 -0.01873914 -0.0011221  ... -0.01579361 -0.01074415
 -0.01020413]"
aim,"[-0.04073628 -0.02077776 -0.00588303 ... -0.00947076 -0.02033989
 -0.00775458]"
aimed,"[-0.04962671 -0.00811395 -0.01325115 ... -0.01172406 -0.01151998
 -0.0032213 ]"
airing,"[-4.22024401e-03 -1.78627446e-02  5.81247650e-06 ...  8.22913460e-03
 -6.18037349e-03 -1.29266279e-02]"
airline,"[-0.01957918 -0.01105799 -0.01504534 ... -0.00278642 -0.01304829
 -0.01132786]"
airlines,"[-0.02316475 -0.01279557 -0.00357592 ...  0.00166312 -0.01496056
 -0.000239  ]"
airplane,"[-0.03556792 -0.02024855 -0.00056264 ... -0.00141227 -0.02063769
 -0.01544908]"
ak,"[ 0.00187152 -0.01024699 -0.00647648 ...  0.00271628 -0.00782947
 -0.00638376]"
alameda,"[ 0.00374286 -0.01188947  0.00402365 ... -0.01438243 -0.00793773
 -0.00654743]"
albert,"[-0.00328984 -0.00667695  0.00588836 ... -0.00747596 -0.00257768
 -0.00070304]"
alcohol,"[ 0.01682962 -0.01799852 -0.0048151  ... -0.02329846  0.00357646
 -0.01028108]"
alcoholic,"[-0.00448976 -0.01704971  0.01031006 ... -0.02698534  0.01158711
 -0.01774507]"
aldrin,"[-0.00493267 -0.00772763 -0.01194772 ... -0.01404394 -0.01123515
 -0.00334495]"
aleister,"[-0.00699667 -0.01908562 -0.01858337 ... -0.01990876  0.00026115
 -0.01255633]"
alex,"[ 0.0068851  -0.01165748 -0.00715481 ... -0.01613767 -0.0153585
 -0.01469921]"
alien,"[ 0.01079444 -0.02595937  0.00621929 ... -0.00792933 -0.00703442
 -0.02729133]"
aliens,"[ 0.00866291 -0.03662262 -0.00177953 ... -0.00577972 -0.00699159
 -0.00924222]"
alimony,"[-0.01216522 -0.01151146  0.00139007 ...  0.00048273  0.01806248
 -0.0075148 ]"
alive,"[ 0.00080294 -0.0178164  -0.01065172 ... -0.01962345  0.00979761
 -0.02306814]"
alleged,"[-0.01552449 -0.00211682 -0.00710259 ... -0.03761059 -0.00693157
 -0.00589149]"
allegedly,"[-0.00433731 -0.00766338 -0.00083281 ... -0.02572804 -0.00440954
 -0.01604219]"
alliance,"[-0.00658086 -0.02803452 -0.00815848 ... -0.01045819 -0.0108141
 -0.02849993]"
allow,"[ 0.00343153 -0.00377395  0.00298234 ... -0.01139916 -0.01317384
 -0.0020232 ]"
allowed,"[-0.01492552 -0.01973061 -0.00130758 ... -0.01649887 -0.01759029
 -0.00457829]"
allowing,"[-0.0148714  -0.01163569 -0.00501428 ... -0.01824282  0.00141339
 -0.01206426]"
ally,"[-0.01916451 -0.02197286 -0.02027938 ...  0.00036053 -0.00359158
 -0.02502111]"
almost,"[-0.00107092 -0.01990948  0.00946914 ... -0.00070325 -0.00091396
 -0.03737711]"
alone,"[-0.00898768 -0.00113484  0.00869346 ... -0.00610503  0.00859538
 -0.02311717]"
along,"[-0.00398764 -0.0291415   0.00960345 ... -0.0053157   0.00650233
 -0.02961063]"
already,"[-0.01618011 -0.01236418  0.0107024  ... -0.02822971  0.00852773
 -0.02981627]"
also,"[-0.00760089 -0.02630768 -0.00371316 ... -0.00638891  0.01260996
 -0.02782518]"
alt,"[-0.0024391  -0.01403666  0.00075242 ...  0.00288207 -0.01512314
 -0.00460475]"
alternate,"[-0.00706026 -0.02890705 -0.01734423 ... -0.01263266  0.00393575
 -0.01837865]"
always,"[-0.00818306 -0.00915131  0.01192159 ... -0.00981699  0.01149125
 -0.00975647]"
amazing,"[-0.01877153  0.00523057 -0.01051205 ... -0.00852036 -0.01711708
 -0.01149199]"
amazon,"[ 0.00940905 -0.03356504 -0.01227935 ... -0.01534736 -0.02225954
  0.00223694]"
amendment,"[-0.01295529  0.00363131  0.00221968 ...  0.01241438  0.00134731
 -0.02812695]"
america,"[ 0.00459552 -0.03080095  0.00268543 ... -0.00389338  0.00196998
 -0.03066784]"
american,"[ 0.00351188 -0.00666124  0.02308949 ... -0.00448614  0.00045445
 -0.02448379]"
americans,"[-0.01157557 -0.01065857  0.01601443 ... -0.0030866   0.01140281
 -0.0283874 ]"
ammo,"[ 0.00197254 -0.01864061  0.00310967 ... -0.02038468  0.01058301
 -0.01843132]"
among,"[-0.0001637  -0.0126539   0.01472898 ... -0.01344732  0.00119181
 -0.02486024]"
amorites,"[-0.02374738 -0.02595612 -0.00638863 ... -0.01527382  0.00856057
 -0.016077  ]"
amount,"[ 0.02377687 -0.02472794  0.02995216 ... -0.02957709 -0.01342891
 -0.05272437]"
analyst,"[-0.02244873 -0.01674214  0.00703533 ...  0.00488487 -0.00232705
 -0.00110845]"
analyze,"[-0.01576624 -0.00151111  0.01851908 ...  0.00039103 -0.01886666
  0.0013573 ]"
ancient,"[-0.0046006  -0.01685202 -0.00211324 ... -0.01427703 -0.01265924
 -0.01516682]"
anderson,"[-0.01494368 -0.00384188  0.01171021 ... -0.0061559  -0.00721207
 -0.00296686]"
andrew,"[-0.02105676 -0.01069088 -0.00029325 ... -0.00640843 -0.02241089
 -0.01978387]"
animals,"[ 0.00066125 -0.00714021 -0.00154794 ... -0.0189426  -0.00433155
 -0.01113446]"
animation,"[-0.01782113 -0.01899465  0.00351033 ... -0.01913111  0.00507957
 -0.02180564]"
annihilate,"[-0.03469595 -0.01173376 -0.0065003  ... -0.00477312 -0.00428507
 -0.01450972]"
announce,"[-0.00120505 -0.02053352  0.01250666 ... -0.01544099  0.00167567
  0.00090549]"
announcement,"[ 0.003174   -0.01405852  0.00221673 ... -0.01076748  0.01512059
 -0.00979624]"
announces,"[-0.00784702 -0.02413096  0.00212466 ... -0.01277885  0.01621535
 -0.00111549]"
anomalous,"[-0.03259127 -0.00339382  0.01192978 ...  0.00550044 -0.00231563
 -0.02002452]"
another,"[-0.00728168 -0.00902131 -0.00545954 ... -0.01276873  0.00467568
 -0.01208801]"
answer,"[-0.00461642 -0.0186133   0.01155447 ... -0.02364573 -0.01465445
 -0.03038249]"
antarctic,"[-0.01294703 -0.00836401 -0.00474814 ... -0.00401351 -0.01015678
 -0.02627148]"
antarctica,"[-0.00064618 -0.01032559 -0.00381206 ...  0.00106724 -0.01162629
 -0.0333247 ]"
anthony,"[-0.01517702  0.00191247 -0.00216133 ... -0.01937696 -0.01484976
 -0.0171679 ]"
anti,"[-0.02921781 -0.01216279 -0.01441918 ... -0.00564435 -0.00134248
 -0.0020548 ]"
antichrist,"[-0.0373149  -0.02603304 -0.03175342 ...  0.00346269  0.00311178
 -0.02567551]"
antisecond,"[-0.02052702  0.00320779 -0.0055314  ... -0.01948015 -0.00819807
 -0.01642444]"
antov,"[-0.0246237  -0.0279245   0.00215701 ... -0.00634743 -0.00588434
  0.00062717]"
anybody,"[-0.03131029 -0.01144877 -0.00537328 ... -0.0273724  -0.0042821
 -0.00103696]"
anymore,"[-0.04727648 -0.0139113   0.00868427 ... -0.0121278   0.00952801
 -0.01987917]"
