tokens,embedding
match,"[-0.01752336 -0.02401129  0.00373649 ... -0.01456083 -0.0180418
  0.00213487]"
matching,"[-0.0202274  -0.01951332 -0.00044129 ... -0.0096255  -0.01656957
 -0.02104349]"
mate,"[-0.01058723 -0.03175476  0.00164237 ... -0.02438312 -0.0042909
 -0.0226958 ]"
matrix,"[-0.00726918 -0.02069965 -0.03119243 ... -0.03090652 -0.02586027
 -0.02770437]"
matt,"[ 0.00076797 -0.00129081  0.00973134 ... -0.00250384 -0.02986352
 -0.02158614]"
matter,"[ 0.00647835 -0.02334962  0.00927644 ... -0.02566529 -0.00602693
 -0.04261927]"
matters,"[ 0.00844248 -0.01768514  0.00859845 ... -0.01995003 -0.00227845
 -0.03162711]"
maxwell,"[-0.01239668 -0.0033174  -0.00844748 ... -0.01600798 -0.00993283
 -0.02116095]"
may,"[-0.01886703 -0.02987954 -0.01111373 ... -0.01935287  0.00307196
 -0.01338101]"
maybe,"[ 0.00743379 -0.02502399  0.00310297 ... -0.02282188 -0.00962256
 -0.02236811]"
maye,"[-0.02721866 -0.01178778 -0.01376287 ... -0.02586471 -0.00670696
 -0.01286256]"
mayor,"[-0.02410064 -0.02838764 -0.01549916 ... -0.03495554 -0.02256171
 -0.01026407]"
mc,"[-0.0090717  -0.01574226 -0.01384024 ... -0.02838193 -0.02013984
 -0.00741249]"
mcdonald,"[-0.02179939 -0.0217324  -0.01298986 ... -0.01894551 -0.02110267
 -0.0090775 ]"
md,"[-0.01389377 -0.00210961 -0.01987354 ... -0.00954175 -0.02985799
 -0.02401443]"
meadows,"[-0.01844403 -0.00601956 -0.00373066 ... -0.01109565 -0.00670058
 -0.01520171]"
meal,"[-0.00911593 -0.02049166  0.00471838 ... -0.00991802  0.0081604
 -0.01460502]"
mean,"[-0.02314866 -0.00182338  0.02342891 ... -0.02120092 -0.02291045
 -0.03976749]"
meaning,"[-0.01958036 -0.02533133  0.01412709 ... -0.01557498 -0.02443824
 -0.05014846]"
meant,"[-0.0335582  -0.01714663  0.01234048 ... -0.01535139 -0.02243339
 -0.03180537]"
measures,"[-0.01424253 -0.01105544  0.0075188  ... -0.01372849 -0.00507879
 -0.02585314]"
meat,"[-0.00805688 -0.02094267 -0.01693376 ... -0.01388803  0.00914371
 -0.00090136]"
mechanism,"[-0.02164092 -0.00675327  0.00248877 ...  0.00115958 -0.00446526
 -0.02814842]"
meddles,"[-0.02978748 -0.00339142 -0.00317239 ... -0.00700534 -0.00671679
 -0.02063708]"
media,"[-0.0179694  -0.01152674  0.0067928  ...  0.0051121  -0.00540973
 -0.02305349]"
medical,"[ 0.00512522  0.00256944 -0.00074138 ... -0.00113021 -0.0106397
 -0.00516961]"
060606,"[-0.00149527  0.01577961  0.01273351 ... -0.01221711 -0.00789634
 -0.01136734]"
10,"[ 0.00538516  0.00349     0.00175881 ... -0.0058788  -0.00037605
 -0.022162  ]"
100,"[ 0.00446982 -0.00737141  0.00625568 ... -0.00402768 -0.0145632
 -0.02857371]"
10b,"[-0.02524756 -0.00239578 -0.01500954 ... -0.00502545  0.00473475
 -0.00688327]"
10m,"[-0.01376212 -0.02733599  0.0113082  ... -0.01963136 -0.01707659
 -0.02125834]"
11110,"[-0.01773533 -0.02079502  0.01449965 ... -0.02577716 -0.00383137
 -0.0231507 ]"
119,"[-0.02371775  0.00108248 -0.0072403  ... -0.02379926 -0.02030816
 -0.03520986]"
12,"[-0.01573054 -0.02554359 -0.01559575 ... -0.01236067 -0.02222764
 -0.01783334]"
120,"[-0.01077694 -0.02182263  0.01389446 ... -0.02784267 -0.00196021
 -0.00756536]"
13,"[-0.00734108 -0.00946793  0.00256252 ... -0.00716956 -0.00838392
 -0.03542928]"
131,"[-0.00567    -0.0180409   0.01380197 ... -0.02578628  0.00367261
  0.00189904]"
150,"[ 0.00159073  0.00456398  0.02577149 ... -0.01249931 -0.01933528
 -0.03493943]"
16,"[-0.01824976 -0.0135144   0.02929007 ... -0.00904507 -0.01540322
 -0.02966251]"
165,"[-1.27923703e-02 -4.35751172e-05  2.81077772e-02 ... -3.57477628e-02
 -1.06520401e-02 -1.07016498e-02]"
17,"[-0.02263425 -0.01735386 -0.01266874 ... -0.02546353 -0.00686661
 -0.0128018 ]"
17m,"[-0.01279146 -0.03111472 -0.00993358 ... -0.01125412  0.01125412
 -0.00708228]"
18,"[-0.02242209 -0.01100819 -0.00286024 ... -0.01768884  0.0010709
 -0.04433029]"
1893,"[-0.02747102  0.00149678 -0.0022657  ... -0.03525229  0.00912853
 -0.02781277]"
19,"[ 0.00375872 -0.0214505  -0.01056486 ... -0.00372734 -0.04019529
 -0.02090657]"
191,"[-0.00673099 -0.01217567 -0.00869108 ... -0.01852554 -0.01003864
 -0.00784715]"
1914,"[-0.01566632 -0.00886439  0.01365329 ... -0.03161516 -0.01028411
 -0.0222634 ]"
1926,"[-0.02341932 -0.01480622  0.00068062 ...  0.00694123 -0.00670703
 -0.03689845]"
1933,"[-0.01601769 -0.00355645 -0.01776855 ... -0.02960058  0.00678119
 -0.02252872]"
195,"[-0.01455203 -0.02428412 -0.01622453 ...  0.00195399 -0.00974525
 -0.01291246]"
1950,"[-0.02661881 -0.01433119 -0.01868032 ...  0.00627808 -0.0132963
 -0.02533503]"
1958,"[-0.01324274 -0.01250141  0.00729867 ... -0.00392565 -0.0206088
 -0.05067958]"
1959,"[-0.00848204 -0.03348682 -0.01619173 ... -0.02642535  0.00184122
  0.00710285]"
1963,"[ 0.00494482 -0.00300594 -0.00540598 ...  0.00675579 -0.01590152
 -0.02455917]"
1965,"[-0.00668329  0.01113997 -0.0071555  ... -0.00637308 -0.01950873
 -0.02131484]"
1975,"[-0.02172336 -0.01268655 -0.00950144 ... -0.00504028  0.01529928
 -0.02298932]"
1983,"[-0.01242038 -0.02762598  0.00271453 ... -0.02677769 -0.00351157
 -0.0238935 ]"
1984,"[-0.01434349 -0.02467025  0.00627273 ... -0.02404603 -0.00577064
 -0.02001575]"
1988,"[-0.01099119 -0.03187651  0.00711357 ... -0.00794153 -0.01319908
 -0.01303349]"
1991,"[-0.01367396 -0.03644637 -0.01014371 ... -0.01976151 -0.01274045
 -0.02061613]"
1994,"[-0.02677879  0.0067573  -0.00227446 ... -0.00042168  0.0033856
 -0.02145086]"
1996,"[-0.01670034 -0.01777865  0.00419193 ... -0.02319716  0.00678325
  0.00613289]"
1b,"[ 0.0008924  -0.01931632 -0.01742384 ... -0.00067827 -0.00614402
 -0.00772   ]"
1x,"[-0.01709441 -0.02756154  0.00204081 ... -0.01353189 -0.01999562
 -0.02872771]"
20,"[-0.03152541 -0.03869027  0.00510165 ... -0.01954416 -0.016519
 -0.02174669]"
200,"[-0.01613167 -0.01459402  0.01046843 ... -0.01412723 -0.01970124
 -0.03421288]"
2000,"[-0.03418877 -0.01652502 -0.00726613 ...  0.004582   -0.00652054
 -0.02408939]"
2002,"[ 0.00929878 -0.02457689  0.01524226 ... -0.01623164 -0.00887578
 -0.02069104]"
2005,"[-0.00054307 -0.02145862  0.02497709 ... -0.02685003 -0.00979284
 -0.04947256]"
2009,"[-0.01422028 -0.0238359  -0.00039846 ... -0.01615695 -0.00595559
 -0.01743   ]"
201,"[-0.01880737 -0.02020102  0.00272866 ... -0.00644735 -0.00765817
  0.0074581 ]"
2010,"[-0.0086845  -0.00117822  0.00555617 ... -0.01016025 -0.01598165
 -0.01462151]"
2012,"[-0.00335186 -0.0242943   0.01254588 ... -0.00799604 -0.01415506
 -0.01540823]"
2013,"[-0.01148382 -0.01013554  0.00951172 ... -0.00213812 -0.0107862
  0.00365242]"
2014,"[-0.02303431 -0.02186033 -0.00376146 ... -0.0123133  -0.00544147
 -0.00614653]"
2015,"[-0.0150142  -0.03224975  0.00275829 ... -0.00073724  0.00376359
 -0.01261888]"
2016,"[ 0.00682477 -0.00586353  0.01684908 ... -0.00808811 -0.01822227
 -0.01884021]"
2019,"[-0.00340811 -0.02784032  0.01681106 ... -0.00081221  0.00757662
 -0.01727689]"
2020,"[ 0.00308665 -0.00405314  0.02103143 ... -0.00991676  0.00174751
 -0.00946074]"
2021,"[-0.0133243  -0.01162727 -0.02195526 ...  0.00240301 -0.00161665
 -0.02298939]"
2022,"[-0.02386257  0.00780697 -0.00945126 ... -0.00084635 -0.00406995
 -0.02288415]"
2023,"[-0.01066361 -0.00645539 -0.00455367 ... -0.02670089 -0.00260484
 -0.01983375]"
2025,"[-0.03228037  0.00827087 -0.01913247 ...  0.01056366 -0.00677473
 -0.01509094]"
2027,"[-0.01243095 -0.02119352 -0.00907404 ... -0.00588324 -0.01569788
 -0.01684684]"
2030,"[-4.26533334e-02 -2.56834384e-02 -2.44194362e-02 ... -1.22164413e-02
 -5.27892989e-05  4.79568444e-05]"
20m,"[-0.02311879 -0.01290776  0.00214544 ... -0.00546368 -0.01084308
 -0.02689702]"
22,"[ 0.01210697 -0.02569527 -0.01316811 ... -0.00901613 -0.00868141
 -0.02351602]"
223,"[ 0.00033178 -0.02450142 -0.01230681 ... -0.00460366 -0.00577473
 -0.02553926]"
225,"[-0.01856266 -0.01245807 -0.01334232 ... -0.01854956  0.00030867
 -0.01786836]"
23,"[-0.01192409 -0.00544118 -0.00838617 ... -0.0094672   0.00923134
 -0.01715234]"
24,"[-0.00851306 -0.00862819 -0.01219029 ... -0.00418457 -0.01464418
 -0.03451278]"
25,"[-0.02855247 -0.01852609 -0.02272094 ... -0.0325135   0.00055057
 -0.01731578]"
250,"[-0.01782542 -0.00969215 -0.01675454 ... -0.00458174 -0.02908999
 -0.00224851]"
27,"[-0.01873576 -0.02624364 -0.00154689 ...  0.00022401 -0.00741284
 -0.0038931 ]"
28,"[-0.02822994 -0.01992701 -0.01909672 ... -0.00497154 -0.00280224
 -0.01214132]"
30,"[-0.04854845 -0.01815863 -0.00617944 ... -0.00955646 -0.00695565
 -0.0115726 ]"
31,"[-0.04450967 -0.01441354 -0.0065255  ... -0.00798823  0.00180336
 -0.02011752]"
32,"[-0.01450416 -0.01168199  0.00990175 ...  0.00848721 -0.02761448
 -0.01270321]"
3301,"[-0.0155736  -0.00207081 -0.00756918 ... -0.00133294 -0.00494411
 -0.01545119]"
35,"[-0.02199327  0.00385209  0.0072899  ... -0.00514218 -0.01452893
 -0.02513309]"
35this,"[-0.03620568 -0.00696056 -0.00980683 ...  0.00026726 -0.00503494
 -0.00998894]"
37,"[-0.01235579 -0.00613295 -0.00655472 ...  0.00282275 -0.01942909
  0.00111147]"
370,"[-0.00090093 -0.01189982 -0.00592579 ... -0.01368445 -0.00687668
 -0.0112659 ]"
38,"[ 0.01213821 -0.01268161 -0.01479168 ...  0.00109738 -0.00732527
 -0.01021868]"
39,"[ 0.00437449 -0.02333506  0.00899497 ... -0.00719331 -0.01040438
 -0.02376054]"
40,"[-0.0014061  -0.02415326  0.00715652 ... -0.00501691 -0.00019965
 -0.03709107]"
400,"[ 0.01001768 -0.0325592   0.01368268 ... -0.01429701  0.00265277
 -0.03269882]"
42,"[-0.01816961 -0.00503665  0.00554435 ... -0.01950106  0.01814271
 -0.03066374]"
43,"[-0.0037603  -0.02988612  0.0181111  ... -0.00263186 -0.00765376
 -0.01237779]"
50,"[ 0.00371963 -0.02504281  0.00833171 ... -0.00737796  0.0034267
 -0.01956555]"
51,"[-0.00897751 -0.015915    0.0020581  ... -0.00128315 -0.00901368
 -0.01347711]"
5month,"[-0.01992118  0.0212192   0.01638237 ...  0.02473069 -0.00359688
 -0.02986811]"
60,"[-0.00397412 -0.01667455 -0.00144628 ... -0.00034732  0.00696897
 -0.01655382]"
60m,"[-0.0013037  -0.02330297  0.02299244 ... -0.02040022  0.01718695
 -0.02110228]"
62,"[ 0.01751983 -0.00914597  0.00206012 ... -0.00367804  0.00662609
 -0.01844636]"
63,"[-0.00741801 -0.02025662 -0.00881687 ...  0.00070364 -0.01020229
 -0.03771551]"
69,"[-0.0038939   0.01108416 -0.0089829  ... -0.00862831  0.02059238
 -0.01629793]"
70,"[-0.02006749 -0.00498532  0.00406679 ... -0.00740436 -0.00403523
 -0.04184584]"
71,"[-0.00490535 -0.00667906 -0.0002412  ... -0.01600024 -0.00704788
 -0.02080165]"
80,"[ 0.00449509 -0.01473466 -0.00042141 ... -0.00682751  0.00992043
 -0.02094087]"
836,"[-0.0135943  -0.0169506  -0.00601662 ...  0.00740206 -0.00108055
 -0.04103007]"
858,"[-0.01580247 -0.02098427  0.00646034 ... -0.00670725 -0.01830542
 -0.03119905]"
911,"[ 0.00089632 -0.00605098 -0.01363195 ...  0.00073955 -0.01124833
 -0.02432212]"
93,"[-0.0118372  -0.03230495  0.00208572 ... -0.02852996  0.00283475
 -0.01133199]"
96,"[-0.00140165 -0.01328032  0.01123269 ... -0.00254978  0.01376785
  0.00382549]"
abandon,"[-0.00731654 -0.01468943  0.0232383  ... -0.00570747 -0.01761886
 -0.03329415]"
abc,"[ 0.00854716 -0.02025589  0.00968314 ... -0.00812973 -0.01293366
 -0.04420711]"
able,"[-0.01086034 -0.03184054 -0.00369553 ... -0.00707568 -0.0121836
 -0.02673947]"
abraham,"[-0.01112626 -0.02147627  0.0184666  ... -0.01074495 -0.01585186
 -0.03546241]"
abramovic,"[-0.01126625 -0.0173305  -0.00913557 ... -0.00506304 -0.03303627
 -0.01690294]"
absolutely,"[-0.04210841 -0.02765685 -0.01600279 ... -0.02277779 -0.00552872
 -0.00028671]"
abuse,"[-0.02655379  0.01135311 -0.01846548 ... -0.00315949 -0.00078549
 -0.0235628 ]"
acceptance,"[-0.01646597 -0.00486337  0.0232191  ... -0.02063457 -0.01283234
 -0.03251507]"
access,"[-0.01204654 -0.00155653 -0.00258877 ... -0.01022443 -0.00658365
 -0.00689651]"
accomplishment,"[-0.03013363 -0.01146978  0.00140912 ... -0.00282503  0.01264391
 -0.00628123]"
according,"[-0.02184194  0.00546049 -0.00896669 ... -0.02093581 -0.00099658
 -0.02426281]"
account,"[-0.01368002 -0.00993273  0.02296858 ... -0.02158326  0.02004556
 -0.01052842]"
accountability,"[-0.0072037  -0.00695885  0.00079616 ... -0.02023221 -0.00918826
 -0.01443317]"
accountable,"[-0.03619243 -0.00195102 -0.00972111 ... -0.0168046  -0.00347037
 -0.00382046]"
accurate,"[-0.01645588 -0.02362931 -0.01244602 ... -0.01465581 -0.02454278
  0.00140547]"
accused,"[-0.00191155 -0.02325373  0.00520366 ... -0.01097598  0.00094121
 -0.01400431]"
accuses,"[-0.00038401 -0.01186761  0.01282434 ... -0.00278879  0.0189176
 -0.00775567]"
acknowledged,"[-0.0184294  -0.02260728  0.00733191 ... -0.00854816 -0.00285855
 -0.02850304]"
across,"[-0.02373641 -0.02358466  0.01107151 ... -0.02496307 -0.00231104
  0.00512792]"
act,"[-0.04378162  0.00406919  0.00151374 ... -0.011457    0.00127898
 -0.06499928]"
acted,"[-0.0407622  -0.00861192 -0.0139188  ... -0.01581316  0.00237802
 -0.06610087]"
action,"[-0.03099348 -0.00501587  0.00848892 ...  0.00632898 -0.01241796
 -0.02563133]"
actively,"[ 0.01463122 -0.02000704 -0.00643178 ...  0.00325396 -0.01073177
 -0.03138099]"
activity,"[-0.00178266 -0.01297204 -0.01156319 ... -0.00721702 -0.0182087
 -0.02631622]"
actual,"[ 0.02262868 -0.02543095 -0.0130378  ... -0.00312624 -0.01619529
 -0.03236427]"
actually,"[-0.00103062 -0.01829671  0.02316414 ... -0.02912372 -0.00399103
 -0.01729895]"
adamant,"[ 5.96225914e-03 -2.18548793e-02 -6.58964345e-05 ... -2.66112126e-02
  1.22529478e-03 -2.83763111e-02]"
adams,"[-0.01719485 -0.01805192  0.01382016 ... -0.02069007  0.00077671
 -0.01817244]"
addict,"[ 7.86823875e-05 -1.85284694e-03 -3.16045509e-04 ... -2.55187564e-02
 -1.10118063e-02 -2.01286562e-02]"
address,"[-0.01512426 -0.01261459  0.00255934 ... -0.00914475  0.00943611
 -0.04531981]"
adhanom,"[ 0.00147573 -0.00507079 -0.01292662 ... -0.00261012  0.0021584
 -0.03062175]"
admin,"[ 0.00062671 -0.01691317  0.01872771 ... -0.02100266 -0.01262056
 -0.03602004]"
admissions,"[-0.01795487 -0.02323413  0.02141185 ... -0.022122    0.00897743
 -0.02159944]"
admit,"[-0.01398394 -0.02882514 -0.00340725 ...  0.00639591  0.00863281
 -0.00690491]"
admits,"[ 0.01641745 -0.00191914  0.0162279  ... -0.01501774 -0.01716105
 -0.02458243]"
admitted,"[ 0.0228388  -0.01737497  0.01745693 ... -0.02557071 -0.01913705
 -0.04586883]"
admitting,"[-0.01893997 -0.01485774 -0.01935085 ... -0.01304857  0.00506303
 -0.02587182]"
adrenaline,"[-0.02715512 -0.03671604 -0.00338122 ... -0.00230463  0.00448086
 -0.02997335]"
adrianna,"[-0.01622431 -0.03719974 -0.00340671 ...  0.00505133  0.00282424
 -0.01318959]"
adult,"[ 0.00516123 -0.01256739  0.00792368 ... -0.01407101 -0.00452132
 -0.03012818]"
adults,"[-0.01190442 -0.01243586  0.00898146 ... -0.01296731  0.01319318
 -0.01146597]"
advanced,"[ 0.000955   -0.01680253  0.00526022 ... -0.02194616 -0.00711878
 -0.03719874]"
advancement,"[-0.01572644 -0.01149346  0.00559432 ... -0.01898257 -0.01371041
 -0.03838083]"
advertised,"[-0.022226   -0.01122255  0.00812762 ...  0.00828511 -0.0125646
 -0.03398948]"
advice,"[-0.00984557 -0.01426684 -0.00100551 ... -0.00071969  0.00467863
 -0.01015572]"
advise,"[ 0.00621279 -0.01006818  0.01745966 ... -0.03510955 -0.00733034
 -0.02763654]"
advisor,"[-0.00666074 -0.00363102  0.01514863 ... -0.00447482 -0.00139776
 -0.0219788 ]"
aec,"[ 0.01048573 -0.00369753 -0.00517986 ... -0.01720429 -0.02309381
 -0.02400908]"
aerial,"[ 0.00301185 -0.01764878  0.00696627 ... -0.03445973 -0.00557437
 -0.01797311]"
afb,"[-0.00946048 -0.01435893  0.00443081 ... -0.01834229 -0.00625091
 -0.01683508]"
affairs,"[-0.00714134  0.00374715  0.01513122 ... -0.01098832  0.01218626
 -0.03976044]"
affect,"[-0.00987049 -0.01742232 -0.00354923 ...  0.01202723  0.00896375
 -0.02883426]"
affecting,"[ 0.00709155  0.00681958  0.00352227 ... -0.02080458  0.01017396
 -0.02429663]"
africa,"[-0.00154427 -0.02909674  0.01751018 ... -0.0205082  -0.01226727
 -0.01648188]"
age,"[-0.02828794 -0.01516968 -0.01247045 ... -0.02047367 -0.00208178
 -0.02642547]"
aged,"[-0.01660811 -0.05446405  0.01644993 ... -0.00526582 -0.00370717
 -0.01865117]"
agencies,"[-0.01233686 -0.01143834  0.01812735 ... -0.02393209 -0.01411965
 -0.01641587]"
agency,"[-0.02303667 -0.01066094  0.02110919 ... -0.01411711 -0.01932794
 -0.00921201]"
agenda,"[-0.02380477  0.00085408  0.0203195  ... -0.01901421 -0.00757608
 -0.00983007]"
agent,"[-0.01870684  0.0161457   0.03305711 ... -0.01452189 -0.00493744
 -0.03347956]"
ago,"[-0.0044976  -0.00155454  0.00711701 ... -0.02051255 -0.003042
 -0.02369206]"
agree,"[ 0.0006266  -0.00041396  0.00209349 ... -0.01512363 -0.00278791
 -0.01476875]"
agreed,"[-0.02354012 -0.00793908 -0.00606168 ... -0.00975412 -0.00010716
 -0.0063665 ]"
agreements,"[-0.01477197 -0.02109512  0.00949819 ...  0.00072355  0.00857662
 -0.01973632]"
agrees,"[-0.03921876 -0.02750889  0.0060574  ... -0.00189854  0.00051944
 -0.0047729 ]"
ai,"[-0.03357101  0.00362679  0.02131471 ...  0.00387727 -0.00046193
 -0.02607724]"
aid,"[-0.0051402  -0.02682465 -0.00295713 ... -0.03398741  0.01153603
  0.0040772 ]"
aim,"[-0.01413504 -0.02120919 -0.00782263 ... -0.01022704  0.00346752
 -0.02407064]"
aimed,"[-0.00285641 -0.00892026  0.01488087 ... -0.01170096 -0.01008347
 -0.01749638]"
airing,"[ 0.00034075 -0.01963892  0.02081593 ...  0.01028894  0.00095384
 -0.01631948]"
airline,"[-0.01592157 -0.01289499  0.02078837 ... -0.01712142  0.02417221
 -0.01646083]"
airlines,"[-0.02041191 -0.0150776   0.00841651 ... -0.01548584  0.00955958
 -0.01579882]"
airplane,"[-0.01359026 -0.01396011 -0.00447181 ... -0.0095421   0.01367768
 -0.01193603]"
ak,"[-0.02934675 -0.01304843  0.01060054 ... -0.02009918  0.01180705
 -0.02862145]"
alameda,"[-0.01520719 -0.00205845  0.01353577 ... -0.01874183  0.00064391
 -0.00680213]"
albert,"[ 0.00303422 -0.02322396  0.02034337 ... -0.01066459  0.0077904
 -0.00441691]"
alcohol,"[-0.00490633  0.00067762  0.02134084 ... -0.03280039  0.00606258
 -0.02231525]"
alcoholic,"[ 0.00427615 -0.02026701  0.02194447 ... -0.01490464 -0.00353023
 -0.01393529]"
aldrin,"[ 0.01154972 -0.0059339   0.03553978 ... -0.01526769 -0.01150731
 -0.02743942]"
aleister,"[ 0.00659086 -0.01203311  0.00797877 ... -0.01822743  0.00451584
 -0.04154158]"
alex,"[-0.03244787 -0.01754339 -0.00373622 ... -0.01462174  0.00479986
 -0.03225938]"
alien,"[ 2.10443581e-03 -8.36509094e-03  2.83794422e-02 ... -2.80108787e-02
  8.83361135e-05 -2.26008818e-02]"
aliens,"[-0.02277281 -0.01272224 -0.00167068 ... -0.01442561  0.01482848
 -0.026123  ]"
alimony,"[-0.0162343  -0.0343322   0.00801872 ... -0.01608994  0.00670305
 -0.0149744 ]"
alive,"[-0.02203098 -0.01128467 -0.0039065  ... -0.0088966   0.00241913
 -0.02127177]"
alleged,"[-0.01047695 -0.01012472  0.01134024 ... -0.0127077  -0.0012466
 -0.02629942]"
allegedly,"[-0.02499401 -0.00581641  0.01055933 ... -0.02954452  0.00507712
 -0.04142714]"
alliance,"[-0.02512688 -0.02584996  0.00198151 ... -0.01589376 -0.00358062
 -0.00076523]"
allow,"[-0.00762103 -0.01233394  0.01207514 ... -0.01582776 -0.0053463
 -0.03664086]"
allowed,"[-0.01851106 -0.01562173  0.01902257 ... -0.03619265 -0.00660813
 -0.03892991]"
allowing,"[-0.00551921 -0.02270419 -0.00388414 ... -0.01683127  0.00683061
 -0.03158032]"
ally,"[-0.00511779 -0.00037139  0.00552183 ... -0.0115101  -0.00091319
 -0.01934117]"
almost,"[-0.00055573 -0.02467347  0.01164632 ... -0.00910087 -0.01616538
 -0.02715616]"
alone,"[-0.00815202 -0.01929838  0.00283295 ...  0.00215819  0.00338408
 -0.00934701]"
along,"[-0.0129719   0.00373636  0.01913127 ...  0.00545002 -0.01757212
 -0.02394921]"
already,"[-0.00653701 -0.00964987  0.01117924 ... -0.01352065  0.00049146
 -0.02758267]"
also,"[-0.00926832  0.00432861  0.02028845 ... -0.00061364 -0.01171271
 -0.01216085]"
alt,"[-0.01273049  0.00109674  0.01379947 ...  0.00935698  0.01016218
 -0.02094909]"
alternate,"[-0.01471251 -0.01297078 -0.01473983 ...  0.0084696  -0.00065913
 -0.01672062]"
always,"[-0.03438678 -0.04298348 -0.02282663 ... -0.01083931 -0.00644085
 -0.0220257 ]"
amazing,"[-0.02478183 -0.0152493  -0.0190924  ... -0.00726906  0.00490987
 -0.00171469]"
amazon,"[-0.00844174 -0.01338208  0.01900763 ... -0.01025069 -0.01100441
 -0.01680126]"
amendment,"[-0.01701992 -0.01467378  0.01088386 ... -0.01903288 -0.00299861
 -0.01968535]"
america,"[ 0.00537667  0.00112981 -0.01792895 ... -0.01506408 -0.01674534
 -0.00708146]"
american,"[-0.00479619 -0.0194653  -0.02166968 ... -0.01077472 -0.01113544
 -0.010915  ]"
americans,"[-0.00131034 -0.01799582 -0.00279004 ...  0.00531321 -0.00142153
 -0.02608367]"
ammo,"[ 0.00681627 -0.0014684   0.01077343 ...  0.00923339 -0.00327001
 -0.04176778]"
among,"[-0.00719621 -0.03472239  0.00433688 ... -0.00404958  0.00265925
 -0.03242398]"
amorites,"[-0.00156143 -0.03059514  0.02011978 ... -0.01668702 -0.01020292
 -0.0233482 ]"
amount,"[ 0.00476215 -0.00343194 -0.00117641 ... -0.02036553  0.00525766
 -0.03940085]"
analyst,"[ 0.00055334 -0.02099274 -0.00414238 ...  0.00282946 -0.00329109
 -0.02177909]"
analyze,"[-0.00501961 -0.02378196  0.00264869 ... -0.00509897  0.00956305
 -0.0198668 ]"
ancient,"[-0.00749698 -0.01430319  0.0029138  ...  0.00183023  0.00388055
 -0.02283634]"
anderson,"[-0.01168564 -0.0076647   0.00176632 ...  0.00040832  0.00200205
 -0.02420645]"
andrew,"[ 0.0002241  -0.01347451 -0.00483953 ... -0.01463148  0.01097714
 -0.01907595]"
animals,"[-0.01501271 -0.00702141 -0.00180146 ...  0.00256644  0.02849546
 -0.01579135]"
animation,"[-0.02114554 -0.02083116 -0.01526798 ... -0.02653103 -0.01397629
 -0.02500013]"
annihilate,"[-0.00374336 -0.01932685 -0.01515369 ... -0.00363938  0.00376763
 -0.0151121 ]"
announce,"[-0.01345145 -0.00351434 -0.00853002 ... -0.0006602   0.00372641
 -0.00373988]"
announcement,"[-0.0078447  -0.01998676 -0.01225017 ... -0.01150692  0.007642
 -0.02843282]"
announces,"[-0.01195235 -0.01988398 -0.01971931 ...  0.00202408  0.00915981
 -0.01800399]"
anomalous,"[-0.01404628 -0.03826305  0.0014895  ...  0.00207189 -0.00080874
 -0.00781341]"
another,"[ 0.0017069  -0.02723404 -0.0036045  ... -0.00183086 -0.00444365
 -0.01572759]"
answer,"[-0.00551936 -0.02813139 -0.01233005 ...  0.00231536 -0.01375328
 -0.02646517]"
antarctic,"[-0.01605763 -0.02978513  0.01125807 ... -0.01003602 -0.01629824
 -0.00992204]"
antarctica,"[-0.0099859  -0.04126536  0.0047319  ... -0.01288055 -0.01166453
 -0.01672027]"
anthony,"[-0.00290542 -0.01936946 -0.00193179 ...  0.01000756 -0.00371935
 -0.01978158]"
anti,"[ 0.00467901 -0.02040541  0.0046125  ... -0.00516786 -0.00389086
 -0.01233769]"
antichrist,"[-0.02664297 -0.01172483  0.00565683 ...  0.00990888 -0.0043103
 -0.02889063]"
antisecond,"[-0.01051279 -0.00098948  0.00902683 ...  0.00548554  0.01278338
 -0.02730269]"
antov,"[-0.01899337 -0.03113261 -0.01015732 ... -0.0135431  -0.0007815
 -0.02981133]"
anybody,"[ 0.00604404 -0.00034008  0.02183182 ...  0.00118134  0.00078256
 -0.02629409]"
anymore,"[-0.02848496 -0.02851264  0.00250005 ... -0.01847785  0.02067858
 -0.01946057]"
anyone,"[ 0.01373896 -0.02245362  0.00118582 ...  0.00264081  0.00079351
 -0.00594181]"
anything,"[-0.02096876 -0.02045101  0.00391187 ... -0.01711442  0.01428838
 -0.01318098]"
anyway,"[-0.03757565 -0.02799399 -0.0127216  ... -0.01916332  0.02970315
 -0.03193024]"
apart,"[ 0.00221683 -0.01683186  0.0015161  ...  0.01149546  0.00641387
 -0.02117086]"
apocalypse,"[ 0.00703602 -0.02040865 -0.00278713 ... -0.01938752  0.02156966
 -0.03368336]"
apocalyptic,"[ 0.0037416  -0.02344418 -0.01506244 ... -0.01519962  0.0123394
 -0.04057804]"
apologizes,"[ 0.00771044 -0.00817239 -0.00528861 ... -0.01645346  0.02305659
 -0.03247215]"
apophis,"[-0.01662844 -0.02147723 -0.00441562 ... -0.00976047  0.01985631
 -0.02518021]"
app,"[-0.00404205 -0.02905551  0.00528977 ...  0.00213398  0.00742375
 -0.02740115]"
apparently,"[-0.00446551 -0.01811051  0.01058274 ... -0.00950107  0.01549406
 -0.02612065]"
appear,"[-0.00111747 -0.03462099  0.0036591  ... -0.00411782  0.00564689
 -0.025347  ]"
apple,"[ 0.01102088 -0.0187037   0.00505344 ... -0.01561732  0.02337962
 -0.00808683]"
